Structure,Overall Confidence Score,Complex pLDDT,Complex ipLDDT,Ligand iPTM,Protein iPTM,Complex pDE,Complex ipDE,Protein (Chain A) pTM,Ligand (Chain L) pTM,Protein-Protein iPTM,Protein-Ligand iPTM,Ligand-Protein iPTM,Ligand-Ligand iPTM,Affinity (log10 IC50 µM),Binder Probability,Binder Probability (%)
structure_1,0.9471759796142578,0.9404975771903992,0.9567294716835022,0.9738898277282715,0.0,0.3503056764602661,0.38972359895706177,0.916572093963623,0.9690968990325928,0.916572093963623,0.7730595469474792,0.9738898277282715,0.9690968990325928,-0.052043721079826355,0.7331811189651489,73.31811189651489
structure_2,0.9502107501029968,0.9424394965171814,0.9671075940132141,0.9812959432601929,0.0,0.3168097138404846,0.3650979697704315,0.9406733512878418,0.9769838452339172,0.9406733512878418,0.7934513688087463,0.9812959432601929,0.9769838452339172,-0.7967032194137573,0.7576016187667847,75.76016187667847
structure_3,0.950478196144104,0.9427292943000793,0.9628853797912598,0.9814735054969788,0.0,0.33777353167533875,0.37298527359962463,0.931705892086029,0.9776731729507446,0.931705892086029,0.7908164858818054,0.9814735054969788,0.9776731729507446,-0.6994661688804626,0.7350704669952393,73.50704669952393
structure_4,0.9479857683181763,0.9414016008377075,0.9688863158226013,0.9743223190307617,0.0,0.36185422539711,0.43742433190345764,0.9105429649353027,0.9665853381156921,0.9105429649353027,0.7179237008094788,0.9743223190307617,0.9665853381156921,-0.07856876403093338,0.5563445091247559,55.634450912475586
structure_5,0.9592308402061462,0.9548075795173645,0.9752168655395508,0.9769238829612732,0.0,0.3517514169216156,0.40543708205223083,0.9140904545783997,0.9727535247802734,0.9140904545783997,0.76432865858078,0.9769238829612732,0.9727535247802734,-0.8601081967353821,0.7833536267280579,78.33536267280579
structure_6,0.9530639052391052,0.9469164609909058,0.9738074541091919,0.9776535034179688,0.0,0.33541038632392883,0.39448782801628113,0.9260120987892151,0.9690791964530945,0.9260120987892151,0.7460405230522156,0.9776535034179688,0.9690791964530945,-0.22188252210617065,0.5943899154663086,59.43899154663086
structure_7,0.9466827511787415,0.9388605356216431,0.9639154672622681,0.9779714345932007,0.0,0.33135125041007996,0.3918558955192566,0.9310359358787537,0.9735507965087891,0.9310359358787537,0.7683827877044678,0.9779714345932007,0.9735507965087891,-0.6850028038024902,0.736992359161377,73.6992359161377
structure_8,0.948833167552948,0.9421609044075012,0.9648229479789734,0.9755224585533142,0.0,0.362785279750824,0.4592888057231903,0.9218896627426147,0.9679330587387085,0.9218896627426147,0.7341333627700806,0.9755224585533142,0.9679330587387085,-0.20504677295684814,0.5736412405967712,57.364124059677124
structure_9,0.9448539018630981,0.9363439083099365,0.9614970684051514,0.9788935780525208,0.0,0.342609703540802,0.37611526250839233,0.9255844354629517,0.9753054976463318,0.9255844354629517,0.77821946144104,0.9788935780525208,0.9753054976463318,-0.7013698220252991,0.7477344274520874,74.77344274520874
structure_10,0.9267187118530273,0.9138230085372925,0.8997315764427185,0.9783014059066772,0.0,0.3375377953052521,0.39236027002334595,0.9242799282073975,0.974054753780365,0.9242799282073975,0.7694573998451233,0.9783014059066772,0.974054753780365,-0.6337065696716309,0.7171885967254639,71.71885967254639
