Structure,Overall Confidence Score,Complex pLDDT,Complex ipLDDT,Ligand iPTM,Protein iPTM,Complex pDE,Complex ipDE,Protein (Chain A) pTM,Ligand (Chain L) pTM,Protein-Protein iPTM,Protein-Ligand iPTM,Ligand-Protein iPTM,Ligand-Ligand iPTM,Affinity (log10 IC50 µM),Binder Probability,Binder Probability (%)
structure_1,0.9482213258743286,0.9404293298721313,0.9595392942428589,0.9793891906738281,0.0,0.330078661441803,0.37355077266693115,0.9260050058364868,0.973962128162384,0.9260050058364868,0.7772173285484314,0.9793891906738281,0.973962128162384,-0.01969977468252182,0.7332973480224609,73.3297348022461
structure_2,0.950380265712738,0.9434166550636292,0.9686815142631531,0.9782344102859497,0.0,0.3239687383174896,0.37675154209136963,0.9335266947746277,0.9742313027381897,0.9335266947746277,0.7864693403244019,0.9782344102859497,0.9742313027381897,-0.278057724237442,0.7180556058883667,71.80556058883667
structure_3,0.9457041621208191,0.9367890357971191,0.9635684490203857,0.9813647866249084,0.0,0.3211292326450348,0.36869725584983826,0.9343655109405518,0.9774643778800964,0.9343655109405518,0.7984439134597778,0.9813647866249084,0.9774643778800964,-0.04272666946053505,0.6892651319503784,68.92651319503784
structure_4,0.9541141390800476,0.9496543407440186,0.9696145057678223,0.971953272819519,0.0,0.3306383192539215,0.4249567985534668,0.9385008215904236,0.9653042554855347,0.9385008215904236,0.7478817105293274,0.971953272819519,0.9653042554855347,0.653674304485321,0.5742100477218628,57.42100477218628
structure_5,0.9575708508491516,0.9510447382926941,0.97442626953125,0.9836750030517578,0.0,0.3000452220439911,0.3389418125152588,0.9523905515670776,0.979838490486145,0.9523905515670776,0.8218325972557068,0.9836750030517578,0.979838490486145,-0.4244883060455322,0.741070032119751,74.1070032119751
structure_6,0.9509018063545227,0.9452309012413025,0.9734679460525513,0.973585307598114,0.0,0.33338648080825806,0.4094866216182709,0.9222036600112915,0.9663655161857605,0.9222036600112915,0.7417053580284119,0.973585307598114,0.9663655161857605,0.5949962735176086,0.6042930483818054,60.42930483818054
structure_7,0.9498902559280396,0.9426848888397217,0.9696239233016968,0.9787116050720215,0.0,0.32705095410346985,0.3817414939403534,0.9187533259391785,0.9741017818450928,0.9187533259391785,0.7739153504371643,0.9787116050720215,0.9741017818450928,0.05009772628545761,0.7119554281234741,71.19554281234741
structure_8,0.9478780031204224,0.9423714280128479,0.9660159349441528,0.9699040651321411,0.0,0.3816097378730774,0.47131049633026123,0.9147642254829407,0.9629242420196533,0.9147642254829407,0.7190625667572021,0.9699040651321411,0.9629242420196533,0.35346245765686035,0.570991039276123,57.099103927612305
structure_9,0.9456378817558289,0.9383497834205627,0.9598996043205261,0.9747905731201172,0.0,0.33357423543930054,0.3902656137943268,0.9279104471206665,0.9691998958587646,0.9279104471206665,0.7691978216171265,0.9747905731201172,0.9691998958587646,-0.027862757444381714,0.700244665145874,70.0244665145874
structure_10,0.9231147766113281,0.909216046333313,0.8962165713310242,0.9787095785140991,0.0,0.3051922917366028,0.37590667605400085,0.9586041569709778,0.9736887812614441,0.9586041569709778,0.7888477444648743,0.9787095785140991,0.9736887812614441,-0.017522253096103668,0.6722114086151123,67.22114086151123
