Structure,Overall Confidence Score,Complex pLDDT,Complex ipLDDT,Ligand iPTM,Protein iPTM,Complex pDE,Complex ipDE,Protein (Chain A) pTM,Ligand (Chain L) pTM,Protein-Protein iPTM,Protein-Ligand iPTM,Ligand-Protein iPTM,Ligand-Ligand iPTM,Affinity (log10 IC50 µM),Binder Probability,Binder Probability (%)
structure_1,0.9497256278991699,0.9426574110984802,0.9660019278526306,0.9779983162879944,0.0,0.33564653992652893,0.3699658215045929,0.920665442943573,0.9759665727615356,0.920665442943573,0.7900070548057556,0.9779983162879944,0.9759665727615356,-1.1227080821990967,0.8577756881713867,85.77756881713867
structure_2,0.9544579386711121,0.9482124447822571,0.9744576215744019,0.979439914226532,0.0,0.34833213686943054,0.3810243308544159,0.9102149605751038,0.9754884839057922,0.9102149605751038,0.7720737457275391,0.979439914226532,0.9754884839057922,-0.9823105335235596,0.8396610617637634,83.96610617637634
structure_3,0.9577469229698181,0.9519351720809937,0.9707965850830078,0.9809936881065369,0.0,0.3295912444591522,0.37410518527030945,0.9149990081787109,0.9771756529808044,0.9149990081787109,0.7833247780799866,0.9809936881065369,0.9771756529808044,-0.961338996887207,0.7955387234687805,79.55387234687805
structure_4,0.9597636461257935,0.9536680579185486,0.9773446917533875,0.9841460585594177,0.0,0.31485646963119507,0.34306368231773376,0.9346520304679871,0.9813296794891357,0.9346520304679871,0.8158019781112671,0.9841460585594177,0.9813296794891357,-1.0599076747894287,0.8340595960617065,83.40595960617065
structure_5,0.9567090272903442,0.9497289657592773,0.9703049659729004,0.9846292734146118,0.0,0.30701717734336853,0.33544185757637024,0.9433324337005615,0.9828935861587524,0.9433324337005615,0.8309311270713806,0.9846292734146118,0.9828935861587524,-1.2173280715942383,0.852892279624939,85.2892279624939
structure_6,0.9527339935302734,0.9449557662010193,0.9737208485603333,0.9838468432426453,0.0,0.33326518535614014,0.3442685008049011,0.9249310493469238,0.979602575302124,0.9249310493469238,0.8053326606750488,0.9838468432426453,0.979602575302124,-0.9378874897956848,0.8182464838027954,81.82464838027954
structure_7,0.9472412467002869,0.9379140138626099,0.9708203673362732,0.9845502376556396,0.0,0.33861151337623596,0.3338470757007599,0.9174174070358276,0.981568455696106,0.9174174070358276,0.8056376576423645,0.9845502376556396,0.981568455696106,-1.119530200958252,0.8622151613235474,86.22151613235474
structure_8,0.9548196196556091,0.9479867219924927,0.9651229977607727,0.9821511507034302,0.0,0.31097903847694397,0.3538232445716858,0.9405038356781006,0.9783369302749634,0.9405038356781006,0.8059285283088684,0.9821511507034302,0.9783369302749634,-0.8243433237075806,0.7777615785598755,77.77615785598755
structure_9,0.9517286419868469,0.9433003067970276,0.973905622959137,0.9854418039321899,0.0,0.31286317110061646,0.32733675837516785,0.9355469942092896,0.9832091927528381,0.9355469942092896,0.8260917067527771,0.9854418039321899,0.9832091927528381,-1.1597651243209839,0.8614282608032227,86.14282608032227
structure_10,0.9441717267036438,0.9345200061798096,0.961669921875,0.982778787612915,0.0,0.34142398834228516,0.3619300127029419,0.9215485453605652,0.9794886708259583,0.9215485453605652,0.7994595766067505,0.982778787612915,0.9794886708259583,-0.8708187341690063,0.7835955619812012,78.35955619812012
structure_11,0.9610621333122253,0.9562252759933472,0.9746444821357727,0.9804094433784485,0.0,0.3377242386341095,0.37118563055992126,0.9181047677993774,0.9771842956542969,0.9181047677993774,0.7843736410140991,0.9804094433784485,0.9771842956542969,-1.0023449659347534,0.8262868523597717,82.62868523597717
structure_12,0.9554681181907654,0.9502369165420532,0.9666433930397034,0.9763926863670349,0.0,0.33648204803466797,0.4093610346317291,0.932163655757904,0.9712327122688293,0.932163655757904,0.76472407579422,0.9763926863670349,0.9712327122688293,-0.225755512714386,0.5216711163520813,52.16711163520813
structure_13,0.9375711679458618,0.9270997643470764,0.94403475522995,0.9794565439224243,0.0,0.3598073720932007,0.3805676996707916,0.9134516716003418,0.9755350351333618,0.9134516716003418,0.7776334285736084,0.9794565439224243,0.9755350351333618,-0.9715912342071533,0.796103835105896,79.6103835105896
structure_14,0.9553439021110535,0.9492815732955933,0.9681760668754578,0.9795930981636047,0.0,0.33912983536720276,0.3760216534137726,0.9158056974411011,0.9770892262458801,0.9158056974411011,0.7841622233390808,0.9795930981636047,0.9770892262458801,-0.993708610534668,0.8168224096298218,81.68224096298218
structure_15,0.9521355032920837,0.9457329511642456,0.9692080020904541,0.9777456521987915,0.0,0.3488761782646179,0.3708246946334839,0.9237767457962036,0.9748372435569763,0.9237767457962036,0.7825020551681519,0.9777456521987915,0.9748372435569763,-0.9348791837692261,0.8379789590835571,83.79789590835571
