Structure,Overall Confidence Score,Complex pLDDT,Complex ipLDDT,Ligand iPTM,Protein iPTM,Complex pDE,Complex ipDE,Protein (Chain A) pTM,Ligand (Chain L) pTM,Protein-Protein iPTM,Protein-Ligand iPTM,Ligand-Protein iPTM,Ligand-Ligand iPTM,Affinity (log10 IC50 µM),Binder Probability,Binder Probability (%)
structure_1,0.9531909227371216,0.9474835991859436,0.9743762016296387,0.9760202169418335,0.0,0.34102559089660645,0.38015010952949524,0.9153006076812744,0.973966121673584,0.9153006076812744,0.7851221561431885,0.9760202169418335,0.973966121673584,-0.473532110452652,0.830518901348114,83.0518901348114
structure_2,0.9525929689407349,0.9471765756607056,0.9738467931747437,0.9742586016654968,0.0,0.3462451100349426,0.3903726637363434,0.91619873046875,0.9715326428413391,0.91619873046875,0.7777751088142395,0.9742586016654968,0.9715326428413391,-0.4487563967704773,0.7912958860397339,79.12958860397339
structure_3,0.9548258185386658,0.9481881856918335,0.9710573554039001,0.9813762307167053,0.0,0.334184467792511,0.3612748384475708,0.9298238158226013,0.9779256582260132,0.9298238158226013,0.804176390171051,0.9813762307167053,0.9779256582260132,-0.3466363549232483,0.7426432967185974,74.26432967185974
structure_4,0.9475858807563782,0.9406778216362,0.9688358902931213,0.9752179980278015,0.0,0.3349587619304657,0.3825221657752991,0.924629271030426,0.9721934199333191,0.924629271030426,0.7877009510993958,0.9752179980278015,0.9721934199333191,-0.39774638414382935,0.7812793254852295,78.12793254852295
structure_5,0.9533446431159973,0.9461655616760254,0.9701221585273743,0.9820610880851746,0.0,0.32124578952789307,0.3541965186595917,0.916723370552063,0.9787091612815857,0.916723370552063,0.7965431213378906,0.9820610880851746,0.9787091612815857,-0.6589142680168152,0.8155735731124878,81.55735731124878
structure_6,0.9543187022209167,0.9483017325401306,0.9747697710990906,0.9783865213394165,0.0,0.32729777693748474,0.37395957112312317,0.9154084324836731,0.9747473001480103,0.9154084324836731,0.780882716178894,0.9783865213394165,0.9747473001480103,-0.339302659034729,0.7634543776512146,76.34543776512146
structure_7,0.9528951048851013,0.9455052018165588,0.9729615449905396,0.9824547171592712,0.0,0.3275594413280487,0.3438376784324646,0.9286196827888489,0.978873610496521,0.9286196827888489,0.8046726584434509,0.9824547171592712,0.978873610496521,-0.5202770233154297,0.8242150545120239,82.42150545120239
structure_8,0.956673264503479,0.9517539143562317,0.9676095843315125,0.9763506054878235,0.0,0.3402993381023407,0.38040590286254883,0.9204562306404114,0.9732838869094849,0.9204562306404114,0.7813927531242371,0.9763506054878235,0.9732838869094849,-0.2771527171134949,0.7362613677978516,73.62613677978516
structure_9,0.9500913023948669,0.9426828622817993,0.9731376767158508,0.9797247052192688,0.0,0.3211841881275177,0.35209715366363525,0.9330888986587524,0.9773792624473572,0.9330888986587524,0.8110273480415344,0.9797247052192688,0.9773792624473572,-0.5555402040481567,0.8283634185791016,82.83634185791016
structure_10,0.9476659893989563,0.9413931369781494,0.9632301926612854,0.9727575778961182,0.0,0.3503316640853882,0.414567768573761,0.9116238951683044,0.9714515805244446,0.9116238951683044,0.7690932750701904,0.9727575778961182,0.9714515805244446,-0.35485026240348816,0.7403073310852051,74.03073310852051
structure_11,0.9562182426452637,0.9501453042030334,0.9746582508087158,0.980509877204895,0.0,0.3344506323337555,0.3618888258934021,0.9138317108154297,0.9773426055908203,0.9138317108154297,0.787960410118103,0.980509877204895,0.9773426055908203,-0.548615038394928,0.7874094843864441,78.74094843864441
structure_12,0.9508211016654968,0.9456316828727722,0.9651164412498474,0.9715790152549744,0.0,0.34712091088294983,0.4367554187774658,0.9251109957695007,0.9678636193275452,0.9251109957695007,0.751093327999115,0.9715790152549744,0.9678636193275452,0.36516284942626953,0.48704206943511963,48.70420694351196
structure_13,0.9430845379829407,0.9361814260482788,0.9489848017692566,0.9706969857215881,0.0,0.3553498387336731,0.41673794388771057,0.9116767048835754,0.9693138599395752,0.9116767048835754,0.766572892665863,0.9706969857215881,0.9693138599395752,-0.5235991477966309,0.7439579963684082,74.39579963684082
structure_14,0.955582320690155,0.9495903849601746,0.9694864153862,0.9795500040054321,0.0,0.3295174837112427,0.36528363823890686,0.9291580319404602,0.9773073792457581,0.9291580319404602,0.8012385964393616,0.9795500040054321,0.9773073792457581,-0.3878329396247864,0.7752360701560974,77.52360701560974
structure_15,0.9534303545951843,0.9464125633239746,0.9714196920394897,0.9815018177032471,0.0,0.3198304772377014,0.35623899102211,0.9377157688140869,0.978196918964386,0.9377157688140869,0.8065869212150574,0.9815018177032471,0.978196918964386,-0.505650520324707,0.8047817945480347,80.47817945480347
structure_16,0.9578021168708801,0.951750636100769,0.9749331474304199,0.982008159160614,0.0,0.3251843750476837,0.3539878726005554,0.9261559844017029,0.9784836769104004,0.9261559844017029,0.806088924407959,0.982008159160614,0.9784836769104004,-0.5799905061721802,0.8090837001800537,80.90837001800537
structure_17,0.956915557384491,0.9516115188598633,0.974820613861084,0.9781317710876465,0.0,0.3328193426132202,0.3703972101211548,0.9242987036705017,0.9754129648208618,0.9242987036705017,0.7935928702354431,0.9781317710876465,0.9754129648208618,-0.5505308508872986,0.8082951307296753,80.82951307296753
structure_18,0.95681232213974,0.9505739212036133,0.9735907912254333,0.9817659854888916,0.0,0.3152942955493927,0.34541967511177063,0.9345384836196899,0.9792888760566711,0.9345384836196899,0.8154306411743164,0.9817659854888916,0.9792888760566711,-0.2802433967590332,0.8374511003494263,83.74511003494263
structure_19,0.954117476940155,0.9485998749732971,0.9713000059127808,0.976188063621521,0.0,0.32582083344459534,0.38170433044433594,0.9340659379959106,0.9737292528152466,0.9340659379959106,0.7871453166007996,0.976188063621521,0.9737292528152466,-0.20035405457019806,0.7086679935455322,70.86679935455322
structure_20,0.9548014998435974,0.9485538601875305,0.9744340181350708,0.9797919988632202,0.0,0.3470907211303711,0.3602062463760376,0.9174149632453918,0.9754083156585693,0.9174149632453918,0.7815471887588501,0.9797919988632202,0.9754083156585693,-0.5090689659118652,0.7810994386672974,78.10994386672974
