Structure,Overall Confidence Score,Complex pLDDT,Complex ipLDDT,Ligand iPTM,Protein iPTM,Complex pDE,Complex ipDE,Protein (Chain A) pTM,Ligand (Chain L) pTM,Protein-Protein iPTM,Protein-Ligand iPTM,Ligand-Protein iPTM,Ligand-Ligand iPTM,Affinity (log10 IC50 µM),Binder Probability,Binder Probability (%)
structure_1,0.941379189491272,0.9315312504768372,0.9473838806152344,0.9807707071304321,0.0,0.3337082266807556,0.3667624592781067,0.9279255867004395,0.975367546081543,0.9279255867004395,0.7847205400466919,0.9807707071304321,0.975367546081543,-0.7346434593200684,0.7679937481880188,76.79937481880188
structure_2,0.9489591717720032,0.9415279626846313,0.9645060896873474,0.9786840677261353,0.0,0.35453173518180847,0.4064406454563141,0.9172582626342773,0.972644031047821,0.9172582626342773,0.7515698671340942,0.9786840677261353,0.972644031047821,-0.2584865689277649,0.6063860058784485,60.63860058784485
structure_3,0.9470669627189636,0.9384170174598694,0.963108241558075,0.9816669225692749,0.0,0.3359079658985138,0.3716210722923279,0.9310358166694641,0.9778941869735718,0.9310358166694641,0.7903069853782654,0.9816669225692749,0.9778941869735718,-0.8077044486999512,0.7597647905349731,75.97647905349731
structure_4,0.9491297006607056,0.9411285519599915,0.9631242156028748,0.9811341762542725,0.0,0.3325182795524597,0.3594367206096649,0.9286386370658875,0.9784623384475708,0.9286386370658875,0.7931684851646423,0.9811341762542725,0.9784623384475708,-0.9144883155822754,0.8078314661979675,80.78314661979675
structure_5,0.9540380835533142,0.9475452899932861,0.9736717939376831,0.9800091981887817,0.0,0.336963027715683,0.3804166316986084,0.9230995774269104,0.9747856259346008,0.9230995774269104,0.7681503891944885,0.9800091981887817,0.9747856259346008,-0.4759836792945862,0.6806681156158447,68.06681156158447
structure_6,0.952549934387207,0.9456943869590759,0.9699394106864929,0.9799718856811523,0.0,0.3301286995410919,0.38006776571273804,0.9369837641716003,0.9751447439193726,0.9369837641716003,0.7741551995277405,0.9799718856811523,0.9751447439193726,-0.276584267616272,0.630902886390686,63.0902886390686
structure_7,0.946103572845459,0.9374405741691589,0.9612988829612732,0.9807557463645935,0.0,0.33427372574806213,0.40940433740615845,0.9204567670822144,0.9749165773391724,0.9204567670822144,0.7607915997505188,0.9807557463645935,0.9749165773391724,-0.15661728382110596,0.6213829517364502,62.13829517364502
structure_8,0.9574829339981079,0.9526763558387756,0.9700736403465271,0.9767093062400818,0.0,0.3266303241252899,0.40566521883010864,0.9312394261360168,0.9682680368423462,0.9312394261360168,0.7366078495979309,0.9767093062400818,0.9682680368423462,0.4298378527164459,0.43595704436302185,43.595704436302185
structure_9,0.9458860754966736,0.9377800226211548,0.9654948711395264,0.9783099293708801,0.0,0.3295030891895294,0.37299850583076477,0.9281224012374878,0.9753412008285522,0.9281224012374878,0.7905535697937012,0.9783099293708801,0.9753412008285522,-0.8568436503410339,0.7903425693511963,79.03425693511963
structure_10,0.9426938891410828,0.9343312382698059,0.9568557739257812,0.9761447310447693,0.0,0.36103472113609314,0.42506468296051025,0.9093872904777527,0.9687941670417786,0.9093872904777527,0.7394483685493469,0.9761447310447693,0.9687941670417786,-0.2812671661376953,0.6389394998550415,63.89394998550415
