Structure,Overall Confidence Score,Complex pLDDT,Complex ipLDDT,Ligand iPTM,Protein iPTM,Complex pDE,Complex ipDE,Protein (Chain A) pTM,Ligand (Chain L) pTM,Protein-Protein iPTM,Protein-Ligand iPTM,Ligand-Protein iPTM,Ligand-Ligand iPTM,Affinity (log10 IC50 µM),Binder Probability,Binder Probability (%)
structure_1,0.9543763995170593,0.9471747875213623,0.9712579846382141,0.9831830263137817,0.0,0.31625455617904663,0.3371555805206299,0.9398497343063354,0.9808390736579895,0.9398497343063354,0.8263487815856934,0.9831830263137817,0.9808390736579895,-1.0830333232879639,0.8499785661697388,84.99785661697388
structure_2,0.955568790435791,0.9494321346282959,0.9695641398429871,0.9801152348518372,0.0,0.33453771471977234,0.3814256489276886,0.9252762794494629,0.976093590259552,0.9252762794494629,0.7798294425010681,0.9801152348518372,0.976093590259552,-0.32954204082489014,0.5995098352432251,59.95098352432251
structure_3,0.9373502731323242,0.9344696402549744,0.9157965183258057,0.9488727450370789,0.0,0.3785891532897949,0.6153609752655029,0.9294335246086121,0.931506335735321,0.9294335246086121,0.595203697681427,0.9488727450370789,0.931506335735321,-0.0547717809677124,0.26269373297691345,26.269373297691345
structure_4,0.9503366351127625,0.9425312280654907,0.9689818024635315,0.9815584421157837,0.0,0.3486473858356476,0.35406458377838135,0.918938159942627,0.9782873392105103,0.918938159942627,0.7904790043830872,0.9815584421157837,0.9782873392105103,-0.9714349508285522,0.8460507392883301,84.60507392883301
structure_5,0.9532186388969421,0.9461193680763245,0.9698864817619324,0.9816157817840576,0.0,0.33605557680130005,0.359833687543869,0.9258853793144226,0.9788312911987305,0.9258853793144226,0.7983216643333435,0.9816157817840576,0.9788312911987305,-1.1854854822158813,0.8525062203407288,85.25062203407288
structure_6,0.9511284828186035,0.9449663758277893,0.9717260003089905,0.9757770895957947,0.0,0.34372901916503906,0.3834172785282135,0.9074808359146118,0.9729107022285461,0.9074808359146118,0.7664302587509155,0.9757770895957947,0.9729107022285461,-0.9855126142501831,0.8237261772155762,82.37261772155762
structure_7,0.9496265649795532,0.9428287148475647,0.962043046951294,0.9768178462982178,0.0,0.3415127694606781,0.376358300447464,0.9101957082748413,0.975032389163971,0.9101957082748413,0.7826512455940247,0.9768178462982178,0.975032389163971,-1.0679377317428589,0.8498792052268982,84.98792052268982
structure_8,0.9612273573875427,0.9567654132843018,0.9721187949180603,0.9790747761726379,0.0,0.32721906900405884,0.36859360337257385,0.9217063188552856,0.9751963019371033,0.9217063188552856,0.779254138469696,0.9790747761726379,0.9751963019371033,-0.3212261497974396,0.6411094665527344,64.11094665527344
structure_9,0.9554080963134766,0.9483919143676758,0.9751031398773193,0.983473002910614,0.0,0.32384878396987915,0.34433713555336,0.9203748106956482,0.9803089499473572,0.9203748106956482,0.8009671568870544,0.983473002910614,0.9803089499473572,-1.161769151687622,0.859845757484436,85.9845757484436
structure_10,0.8678633570671082,0.8789365887641907,0.764667272567749,0.8235706686973572,0.0,0.6196945905685425,1.4793894290924072,0.897302508354187,0.8654462099075317,0.897302508354187,0.4572211802005768,0.8235706686973572,0.8654462099075317,-0.001036541536450386,0.39130938053131104,39.1309380531311
structure_11,0.9580767750740051,0.952055037021637,0.972983717918396,0.982163667678833,0.0,0.32502976059913635,0.3573818802833557,0.929755687713623,0.9792659878730774,0.929755687713623,0.8030093312263489,0.982163667678833,0.9792659878730774,-1.0686326026916504,0.8380857706069946,83.80857706069946
structure_12,0.8919773101806641,0.8822258710861206,0.760244607925415,0.9309831261634827,0.0,0.4134947955608368,0.7771869897842407,0.9186375737190247,0.9114418625831604,0.9186375737190247,0.6171133518218994,0.9309831261634827,0.9114418625831604,0.6123889088630676,0.4417717754840851,44.17717754840851
structure_13,0.9472894668579102,0.9396446347236633,0.9533266425132751,0.9778686761856079,0.0,0.3473888039588928,0.3960113227367401,0.9148515462875366,0.9747714400291443,0.9148515462875366,0.7690935730934143,0.9778686761856079,0.9747714400291443,-1.0181844234466553,0.8234320878982544,82.34320878982544
structure_14,0.8386368751525879,0.8206098079681396,0.6112855076789856,0.9107452034950256,0.0,0.47148990631103516,1.0078898668289185,0.9130737781524658,0.9149973392486572,0.9130737781524658,0.5391559600830078,0.9107452034950256,0.9149973392486572,0.41892558336257935,0.4009142220020294,40.09142220020294
structure_15,0.9374155402183533,0.927581250667572,0.9442103505134583,0.9767524600028992,0.0,0.3434334397315979,0.39167332649230957,0.9140024781227112,0.974884033203125,0.9140024781227112,0.7790955901145935,0.9767524600028992,0.974884033203125,-1.0362579822540283,0.8251039981842041,82.51039981842041
structure_16,0.9570199847221375,0.9507297873497009,0.9733732342720032,0.9821805953979492,0.0,0.3319706320762634,0.3542163372039795,0.9173274040222168,0.9782983064651489,0.9173274040222168,0.7864563465118408,0.9821805953979492,0.9782983064651489,-0.8645812273025513,0.8161870241165161,81.61870241165161
structure_17,0.9430651068687439,0.9332088232040405,0.9547705054283142,0.9824901819229126,0.0,0.3205321729183197,0.3567417562007904,0.937820553779602,0.9798930287361145,0.937820553779602,0.8083789944648743,0.9824901819229126,0.9798930287361145,-1.0099880695343018,0.828057050704956,82.8057050704956
structure_18,0.9524090886116028,0.9451518654823303,0.9655879735946655,0.9814379215240479,0.0,0.30350247025489807,0.3481745421886444,0.949434757232666,0.9786449074745178,0.949434757232666,0.8268470764160156,0.9814379215240479,0.9786449074745178,-0.9515345096588135,0.8397448658943176,83.97448658943176
structure_19,0.9522597193717957,0.9445083141326904,0.9714975953102112,0.9832652807235718,0.0,0.31232529878616333,0.3432557284832001,0.9393123984336853,0.9799823760986328,0.9393123984336853,0.8100833892822266,0.9832652807235718,0.9799823760986328,-0.8887354135513306,0.7927476763725281,79.27476763725281
structure_20,0.9466145634651184,0.9380545020103455,0.9540556073188782,0.9808545708656311,0.0,0.32065635919570923,0.36112287640571594,0.9358269572257996,0.9782037734985352,0.9358269572257996,0.8081968426704407,0.9808545708656311,0.9782037734985352,-1.055145025253296,0.8235275745391846,82.35275745391846
