Structure,Overall Confidence Score,Complex pLDDT,Complex ipLDDT,Ligand iPTM,Protein iPTM,Complex pDE,Complex ipDE,Protein (Chain A) pTM,Ligand (Chain L) pTM,Protein-Protein iPTM,Protein-Ligand iPTM,Ligand-Protein iPTM,Ligand-Ligand iPTM,Affinity (log10 IC50 µM),Binder Probability,Binder Probability (%)
structure_1,0.9551350474357605,0.9489588141441345,0.975314736366272,0.979840099811554,0.0,0.32428592443466187,0.35559266805648804,0.9393211007118225,0.9763944745063782,0.9393211007118225,0.8111669421195984,0.979840099811554,0.9763944745063782,-0.5551900863647461,0.8266621828079224,82.66621828079224
structure_2,0.9571840167045593,0.9513285160064697,0.9726657867431641,0.9806063175201416,0.0,0.30773550271987915,0.3656236529350281,0.9397035241127014,0.9773905277252197,0.9397035241127014,0.8045297861099243,0.9806063175201416,0.9773905277252197,0.3656056523323059,0.5838922262191772,58.389222621917725
structure_3,0.9291872978210449,0.9314126372337341,0.8965190052986145,0.9202858209609985,0.0,0.4033486545085907,0.8078852891921997,0.940667986869812,0.9157710075378418,0.940667986869812,0.5575169920921326,0.9202858209609985,0.9157710075378418,0.12465902417898178,0.29790282249450684,29.790282249450684
structure_4,0.9506316184997559,0.943567156791687,0.9697483777999878,0.9788894653320312,0.0,0.32231271266937256,0.3650849163532257,0.9306570291519165,0.9772281646728516,0.9306570291519165,0.8055144548416138,0.9788894653320312,0.9772281646728516,-0.5836920738220215,0.8170114159584045,81.70114159584045
structure_5,0.9496853947639465,0.9420527815818787,0.9684866666793823,0.9802159667015076,0.0,0.3563748300075531,0.35976964235305786,0.9119868278503418,0.9769677519798279,0.9119868278503418,0.787075936794281,0.9802159667015076,0.9769677519798279,-0.6454883813858032,0.8125333786010742,81.25333786010742
structure_6,0.955638587474823,0.9489408731460571,0.9700993895530701,0.9824296832084656,0.0,0.323468953371048,0.3467738926410675,0.9373050332069397,0.9790881872177124,0.9373050332069397,0.8128102421760559,0.9824296832084656,0.9790881872177124,-0.3192186951637268,0.7841138243675232,78.41138243675232
structure_7,0.9463968276977539,0.9389885067939758,0.9656275510787964,0.9760298728942871,0.0,0.3449530303478241,0.38333937525749207,0.9123513698577881,0.9734677076339722,0.9123513698577881,0.7843881845474243,0.9760298728942871,0.9734677076339722,-0.36184161901474,0.8087800741195679,80.87800741195679
structure_8,0.9589774012565613,0.9547280669212341,0.9740456342697144,0.975974977016449,0.0,0.34453701972961426,0.3902522325515747,0.914190948009491,0.9710370898246765,0.914190948009491,0.762855589389801,0.975974977016449,0.9710370898246765,0.19068104028701782,0.6320376396179199,63.20376396179199
structure_9,0.9466561675071716,0.9391618967056274,0.9715293645858765,0.9766330718994141,0.0,0.3513317108154297,0.36733484268188477,0.9139796495437622,0.9735018610954285,0.9139796495437622,0.7785863280296326,0.9766330718994141,0.9735018610954285,-0.5683441162109375,0.8150011301040649,81.5001130104065
structure_10,0.868800938129425,0.8670246005058289,0.7628591656684875,0.8759063482284546,0.0,0.5289158821105957,1.211350679397583,0.9061718583106995,0.9018231630325317,0.9061718583106995,0.5505048036575317,0.8759063482284546,0.9018231630325317,0.5223449468612671,0.44483423233032227,44.48342323303223
structure_11,0.9538394212722778,0.9479132294654846,0.9727178812026978,0.9775439500808716,0.0,0.3237721025943756,0.3766081929206848,0.9284980297088623,0.9748440980911255,0.9284980297088623,0.7969520092010498,0.9775439500808716,0.9748440980911255,-0.5813445448875427,0.7972906827926636,79.72906827926636
structure_12,0.9059160351753235,0.8970113396644592,0.8487865328788757,0.9415348768234253,0.0,0.39669907093048096,0.7407889366149902,0.9241145849227905,0.9394267797470093,0.9241145849227905,0.6797305345535278,0.9415348768234253,0.9394267797470093,0.8152238130569458,0.46759670972824097,46.7596709728241
structure_13,0.9405208826065063,0.9312759041786194,0.9501016736030579,0.9775004982948303,0.0,0.35772040486335754,0.39164888858795166,0.9078366160392761,0.973334014415741,0.9078366160392761,0.7649912238121033,0.9775004982948303,0.973334014415741,-0.6269794702529907,0.7845028638839722,78.45028638839722
structure_14,0.8217531442642212,0.8157007694244385,0.5851343274116516,0.8459625244140625,0.0,0.5288861989974976,1.466727614402771,0.9369423985481262,0.9116597771644592,0.9369423985481262,0.5336119532585144,0.8459625244140625,0.9116597771644592,0.9305304288864136,0.45522740483283997,45.522740483284
structure_15,0.9481692314147949,0.9399584531784058,0.9596318602561951,0.9810121655464172,0.0,0.3343002200126648,0.3697940707206726,0.9175696969032288,0.9773631691932678,0.9175696969032288,0.789625346660614,0.9810121655464172,0.9773631691932678,-0.47605040669441223,0.787908136844635,78.7908136844635
structure_16,0.9530754089355469,0.9474464058876038,0.9730043411254883,0.9755911827087402,0.0,0.3337039351463318,0.38381391763687134,0.9159286022186279,0.9734965562820435,0.9159286022186279,0.7854585647583008,0.9755911827087402,0.9734965562820435,-0.44001147150993347,0.7959426641464233,79.59426641464233
structure_17,0.9511591792106628,0.9431486129760742,0.9643423557281494,0.9832015037536621,0.0,0.3144036531448364,0.34986603260040283,0.9394863843917847,0.9799675941467285,0.9394863843917847,0.8146660327911377,0.9832015037536621,0.9799675941467285,-0.4747788906097412,0.7810646891593933,78.10646891593933
structure_18,0.950322151184082,0.9425116181373596,0.9707691073417664,0.9815641641616821,0.0,0.32254230976104736,0.3546717166900635,0.9309839010238647,0.9776484370231628,0.9309839010238647,0.8034818172454834,0.9815641641616821,0.9776484370231628,-0.49833035469055176,0.8265433311462402,82.65433311462402
structure_19,0.952332615852356,0.9450094699859619,0.9710860848426819,0.9816250205039978,0.0,0.30911490321159363,0.34477484226226807,0.9470369815826416,0.9790334105491638,0.9470369815826416,0.8210141658782959,0.9816250205039978,0.9790334105491638,-0.36156824231147766,0.7506686449050903,75.06686449050903
structure_20,0.9497303366661072,0.9423057436943054,0.9663711786270142,0.9794285893440247,0.0,0.3251689374446869,0.36096593737602234,0.9371176958084106,0.9764779210090637,0.9371176958084106,0.8049319386482239,0.9794285893440247,0.9764779210090637,-0.49593403935432434,0.7731366753578186,77.31366753578186
