Structure,Overall Confidence Score,Complex pLDDT,Complex ipLDDT,Ligand iPTM,Protein iPTM,Complex pDE,Complex ipDE,Protein (Chain A) pTM,Ligand (Chain L) pTM,Protein-Protein iPTM,Protein-Ligand iPTM,Ligand-Protein iPTM,Ligand-Ligand iPTM,Affinity (log10 IC50 µM),Binder Probability,Binder Probability (%)
structure_1,0.9495335817337036,0.9421425461769104,0.9657852053642273,0.9790977239608765,0.0,0.33057209849357605,0.38018813729286194,0.9346244931221008,0.9749999046325684,0.9346244931221008,0.7846896648406982,0.9790977239608765,0.9749999046325684,0.07165566831827164,0.6560088396072388,65.60088396072388
structure_2,0.903677761554718,0.8977134227752686,0.7547022104263306,0.9275349378585815,0.0,0.3560050129890442,0.719838559627533,0.9526365995407104,0.9425721764564514,0.9526365995407104,0.680216908454895,0.9275349378585815,0.9425721764564514,0.7128189206123352,0.4135870337486267,41.35870337486267
structure_3,0.8499423265457153,0.8331335186958313,0.5141777396202087,0.9171775579452515,0.0,0.37954074144363403,0.8258285522460938,0.9522823691368103,0.9279659986495972,0.9522823691368103,0.5665581822395325,0.9171775579452515,0.9279659986495972,0.5020703673362732,0.3245236277580261,32.45236277580261
structure_4,0.9534928202629089,0.946603000164032,0.9737090468406677,0.9810521006584167,0.0,0.31658250093460083,0.3614296615123749,0.9341894388198853,0.9759847521781921,0.9341894388198853,0.7922707796096802,0.9810521006584167,0.9759847521781921,0.22092729806900024,0.6964408159255981,69.64408159255981
structure_5,0.8555840849876404,0.8568814396858215,0.6125749349594116,0.8503944277763367,0.0,0.4549621641635895,1.245240569114685,0.9343774914741516,0.9164565205574036,0.9343774914741516,0.5707123279571533,0.8503944277763367,0.9164565205574036,0.7968960404396057,0.4484928250312805,44.84928250312805
structure_6,0.9271020293235779,0.9190512299537659,0.9113821983337402,0.9593052268028259,0.0,0.40331345796585083,0.6469100713729858,0.9251992702484131,0.9477770924568176,0.9251992702484131,0.6443279981613159,0.9593052268028259,0.9477770924568176,0.5267295837402344,0.3443347215652466,34.43347215652466
structure_7,0.9474195837974548,0.9395545125007629,0.9700577259063721,0.9788796305656433,0.0,0.33785298466682434,0.3919895589351654,0.9222239255905151,0.9737126231193542,0.9222239255905151,0.7743241786956787,0.9788796305656433,0.9737126231193542,0.02009478211402893,0.6631269454956055,66.31269454956055
structure_8,0.9494400024414062,0.9440876245498657,0.9497401118278503,0.9708496928215027,0.0,0.3458084166049957,0.4920838475227356,0.9335770606994629,0.9587395191192627,0.9335770606994629,0.690558135509491,0.9708496928215027,0.9587395191192627,0.6222593784332275,0.36608248949050903,36.6082489490509
structure_9,0.9003033638000488,0.9016698598861694,0.7767918705940247,0.8948374390602112,0.0,0.4161245822906494,0.8952382802963257,0.9318913221359253,0.9015457630157471,0.9318913221359253,0.6044999361038208,0.8948374390602112,0.9015457630157471,0.4660748839378357,0.32810670137405396,32.810670137405396
structure_10,0.9441073536872864,0.9364356398582458,0.951743483543396,0.9747940897941589,0.0,0.34073129296302795,0.46908244490623474,0.9440465569496155,0.9621820449829102,0.9440465569496155,0.7106926441192627,0.9747940897941589,0.9621820449829102,0.6222526431083679,0.36071211099624634,36.071211099624634
