Structure,Overall Confidence Score,Complex pLDDT,Complex ipLDDT,Ligand iPTM,Protein iPTM,Complex pDE,Complex ipDE,Protein (Chain A) pTM,Ligand (Chain L) pTM,Protein-Protein iPTM,Protein-Ligand iPTM,Ligand-Protein iPTM,Ligand-Ligand iPTM,Affinity (log10 IC50 µM),Binder Probability,Binder Probability (%)
EPAC1_mutant,0.9524523615837097,0.9452354311943054,0.9720067977905273,0.9813199639320374,0.0,0.3375541865825653,0.35908254981040955,0.921112596988678,0.9776220321655273,0.921112596988678,0.7916642427444458,0.9813199639320374,0.9776220321655273,-1.0605555772781372,0.8507155179977417,85.07155179977417
EPAC2,0.9569153189659119,0.9501745700836182,0.978401780128479,0.9838780760765076,0.0,0.3228452205657959,0.34175920486450195,0.914202094078064,0.9796153903007507,0.914202094078064,0.786029577255249,0.9838780760765076,0.9796153903007507,0.22842521965503693,0.7109863758087158,71.09863758087158
RAPGEF2,0.9204087257385254,0.9091250896453857,0.9172446727752686,0.965543270111084,0.0,0.361149400472641,0.43176940083503723,0.9178389310836792,0.937563419342041,0.9178389310836792,0.7058413028717041,0.965543270111084,0.937563419342041,0.7373615503311157,0.31607675552368164,31.607675552368164
PKA_RIalfa_A,0.880652129650116,0.854779064655304,0.9375618696212769,0.9841444492340088,0.0,0.44245898723602295,0.3663387596607208,0.8963862061500549,0.9794989824295044,0.8963862061500549,0.7871496081352234,0.9841444492340088,0.9794989824295044,-1.2680565118789673,0.8718183040618896,87.18183040618896
PKA_RIalfa_B,0.9650042653083801,0.9602671265602112,0.9706111550331116,0.9839527010917664,0.0,0.3072296679019928,0.3456510603427887,0.8839079737663269,0.9794340133666992,0.8839079737663269,0.7657005190849304,0.9839527010917664,0.9794340133666992,-1.1382869482040405,0.8516759872436523,85.16759872436523
PKA_RIalfa_B_mutant,0.9681916236877441,0.9641603231430054,0.9711630344390869,0.9843168258666992,0.0,0.30930715799331665,0.34594008326530457,0.8776211142539978,0.9801855087280273,0.8776211142539978,0.7649412751197815,0.9843168258666992,0.9801855087280273,-1.1131019592285156,0.8366308212280273,83.66308212280273
PKA_RIIbeta_B,0.9021589159965515,0.882021427154541,0.9357293248176575,0.9827091693878174,0.0,0.33336469531059265,0.3506390154361725,0.8757827281951904,0.9780239462852478,0.8757827281951904,0.7622418999671936,0.9827091693878174,0.9780239462852478,-0.8688211441040039,0.7178136706352234,71.78136706352234
PKG_Ibeta,0.9052271246910095,0.8856942653656006,0.9411302208900452,0.98335862159729,0.0,0.42352911829948425,0.34415459632873535,0.8425255417823792,0.9811709523200989,0.8425255417823792,0.7498277425765991,0.98335862159729,0.9811709523200989,-0.8873898983001709,0.8613165616989136,86.13165616989136
HCN2,0.8901287913322449,0.8676209449768066,0.9108217358589172,0.9801600575447083,0.0,0.3566437363624573,0.39302846789360046,0.9212356805801392,0.9773167967796326,0.9212356805801392,0.7841043472290039,0.9801600575447083,0.9773167967796326,-0.6997734904289246,0.7052875757217407,70.52875757217407
CNGA3,0.8514421582221985,0.8220168948173523,0.8962087035179138,0.9691433310508728,0.0,0.5707879662513733,0.4927629232406616,0.7788694500923157,0.9690315127372742,0.7788694500923157,0.6551779508590698,0.9691433310508728,0.9690315127372742,-1.0815083980560303,0.7556566596031189,75.56566596031189
POPDC2,0.8712754249572754,0.8550387024879456,0.7619180083274841,0.9362224340438843,0.0,0.548001229763031,1.1029157638549805,0.9067367315292358,0.9197952151298523,0.9067367315292358,0.6612059473991394,0.9362224340438843,0.9197952151298523,0.6502676010131836,0.5017538070678711,50.17538070678711
