Structure,Overall Confidence Score,Complex pLDDT,Complex ipLDDT,Ligand iPTM,Protein iPTM,Complex pDE,Complex ipDE,Protein (Chain A) pTM,Ligand (Chain L) pTM,Protein-Protein iPTM,Protein-Ligand iPTM,Ligand-Protein iPTM,Ligand-Ligand iPTM,Affinity (log10 IC50 µM),Binder Probability,Binder Probability (%)
EPAC1_mutant,0.9538564682006836,0.9471731781959534,0.9738434553146362,0.9805895686149597,0.0,0.3296372890472412,0.34908515214920044,0.9237952828407288,0.9775717258453369,0.9237952828407288,0.8030765652656555,0.9805895686149597,0.9775717258453369,-0.45179638266563416,0.8098021149635315,80.98021149635315
EPAC2,0.9598908424377441,0.9535081386566162,0.9775936603546143,0.9854217171669006,0.0,0.29147541522979736,0.32429155707359314,0.9395860433578491,0.9805968999862671,0.9395860433578491,0.8196160793304443,0.9854217171669006,0.9805968999862671,0.5661685466766357,0.7259218692779541,72.59218692779541
RAPGEF2,0.9061827063560486,0.8963248133659363,0.8955228328704834,0.9456141591072083,0.0,0.34599658846855164,0.5483208298683167,0.9596654176712036,0.9176903367042542,0.9596654176712036,0.7009109258651733,0.9456141591072083,0.9176903367042542,1.1653951406478882,0.2612994909286499,26.12994909286499
PKA_RIalfa_A,0.8846916556358337,0.8597301244735718,0.9369831681251526,0.9845376014709473,0.0,0.3910493552684784,0.35711777210235596,0.9186305403709412,0.9791346788406372,0.9186305403709412,0.8116235733032227,0.9845376014709473,0.9791346788406372,0.001534000039100647,0.7843502759933472,78.43502759933472
PKA_RIalfa_B,0.9650264978408813,0.9601879715919495,0.9701880216598511,0.9843804240226746,0.0,0.3159116804599762,0.3482794761657715,0.869101881980896,0.9797651171684265,0.869101881980896,0.7567680478096008,0.9843804240226746,0.9797651171684265,-0.27975690364837646,0.7718802690505981,77.18802690505981
PKA_RIalfa_B_mutant,0.9698916673660278,0.9656121134757996,0.9738894104957581,0.9870097041130066,0.0,0.2999347150325775,0.326797753572464,0.8839044570922852,0.9827103018760681,0.8839044570922852,0.7797437310218811,0.9870097041130066,0.9827103018760681,-0.38854724168777466,0.7378649711608887,73.78649711608887
PKA_RIIbeta_B,0.8987210392951965,0.8794353604316711,0.9298690557479858,0.9758636951446533,0.0,0.35591980814933777,0.38506588339805603,0.8701586723327637,0.9711349606513977,0.8701586723327637,0.7368819713592529,0.9758636951446533,0.9711349606513977,-0.18952304124832153,0.6360915899276733,63.609158992767334
PKG_Ibeta,0.9225527048110962,0.9081499576568604,0.9502248167991638,0.9801638126373291,0.0,0.3747805953025818,0.3620653450489044,0.8932986259460449,0.9766653180122375,0.8932986259460449,0.7863978147506714,0.9801638126373291,0.9766653180122375,-0.14989924430847168,0.8626397848129272,86.26397848129272
HCN2,0.8630443811416626,0.8342572450637817,0.8991833329200745,0.9781926274299622,0.0,0.3725966513156891,0.4069123864173889,0.9191378355026245,0.9748460054397583,0.9191378355026245,0.7803457379341125,0.9781926274299622,0.9748460054397583,0.5391669273376465,0.6407026052474976,64.07026052474976
CNGA3,0.8526215553283691,0.8242975473403931,0.8899239301681519,0.9659175872802734,0.0,0.5874031186103821,0.5193288922309875,0.772261917591095,0.966032862663269,0.772261917591095,0.6522092819213867,0.9659175872802734,0.966032862663269,-0.03660651296377182,0.6564443111419678,65.64443111419678
POPDC2,0.8131566047668457,0.7889007329940796,0.6212329864501953,0.9101800918579102,0.0,0.5325518846511841,1.1167503595352173,0.9129841923713684,0.9149861335754395,0.9129841923713684,0.6868805289268494,0.9101800918579102,0.9149861335754395,1.0324549674987793,0.3649505078792572,36.49505078792572
